qid,video_id,question,answer,type
396,fMVuGUBs2cs,what happened before the bartending,step by step,2
397,0XTAq_xvquw,what happened before the video is shown,display tools,2
398,0jdSl5-lMpY,what happened to the person in white before he pulled the purple line,nail nail,2
399,vezvHLPR3P0,what happened before the white woman threw the hammer,rotate,2
400,ILmZg0vz0Hg,what happened to the woman with the glasses before she decorated the box,speak,2
401,Flm_SCK10GQ,what happened before pulled wrist,pre match preparation,2
402,IIPKxzPjrWg,what happened to the girl in the tights before she went diving,wearing frog shoe,2
403,6LsvBNqJuJY,what happened after the beginning of the woman's tattoo in the video,pose,2
404,eiN5XPmwcEM,what happened to the man before shaving his beard,smear shaving blister,2
405,P2xT7dlyX8Y,what happened before the audience appeared,play violin,2
406,jhy6npIdn5o,what happened before decorating the christmas tree,send message,2
407,uM7QSskmloo,what happened to the person in the video before pruning branches,pull rope,2
408,wcxEkMoOmBk,what happened before curling hair,select curler,2
409,ufrTSC3Dewg,what happened to the man in green before he pushed the plate round,run,2
410,ECZb_tQZ4Pg,what happened before the licensing of girls wearing glasses,stake,2
411,X6CBZwwRdQQ,what happened before rubbing sunscreen ,introduce,2
412,Db2Dnt2OOo0,what happened before tattoo in the video,prepare tools,2
413,_2txWbQfJrY,what happened before the person in the short sleeves tiled the tile,cement,2
414,gCHo9vxfEzM,what happened to the red person after the rotation,squat,2
415,JbW8efAOOt0,what happened after the people in the video held their hands,start dancing,2
416,2bQx5igckJc,what happened after the green subtitles in the video,display product,2
417,HWFosaUWoSI,what happens after the pictures in video show the garage,display front door,2
418,K5jY2chByPw,what happened after the person in the video wiped the leg of the horse,pacify horse,2
419,a_EqAwUOxpM,what happened after the manicure in the video,showcase,2
420,_CIoHeD7KQc,what happened in the video before he did the experiment,explain,2
421,nvcMYiZhUuo,what happened before they dive in the video,water preparation,2
422,m731tx8N5-Y,what happened to the bald man after he got his head close to the microphone,open mouth and sing,2
423,SPjv6P5fxug,what happens after the bald man rides another man,fall down,2
424,7vcihMnmssI,what happened to the bald man after he made the hole,go fishing,2
425,er5jUsRr4y0,what happened to blond man after using mouthwash,gargle with fat man,2
426,7LbBmVX33I4,what happened to the curly hair woman before clipping her hair,spray liquid,2
427,df5rlVZD0Zc,what happened to the man in the red jacket before running,on tree,2
428,7lxP-hWFA24,what happened to the man in the hat before he played the guitar,bubble,2
429,i_LT0ef1n-Y,what happened to the red man after he spit out his tongue,slider,2
430,SGAUpoTMSnA,what happened to the red kayaker before he went in the water,with boat overhead,2
431,-CqVpCRxwTY,what happened after the woman played skating in the video,photograph,2
432,VFC-V06hVj0,what happened to the woman in the hat before she got off the camel,camel stopped,2
433,AwcM25G1h-g,what happened to the woman in the red vest before she shot,helmet,2
434,8AUTKSqcmiM,what happened to the woman in the white hat after she shot the arrow,replacement,2
435,54TIARWo-S8,what happened to the boy in the pink suit after his first long jump,long jump,2
436,MpeN-IVIBc4,what happened before her spray painting,prepare pigments,2
437,d4sX1jnL4BY,what happened to the man in the video before the floating sea,raise your right hand,2
438,wCexKIuAj3A,what happened to the white beard man after he smoked,blow out cigarette smoke,2
439,ut1AoOzqL4k,what happened to the man in the black vest after the long jump,hand clenched fist,2
440,6Xsfwn5M6qs,what happened to the man in blue pants before he landed,somersault,2
441,wLXty2wzuJg,what happened to mr. bean after he saw the swim trunks,swimming,2
442,QX5e5Mla660,what happened to the person in black before he turned,support body with two hands,2
443,T62XjoKbN8M,what happened to the person in black before he started pushing the ice pot,frictional runway,2
444,2CegApogJd4,what happened to the person in blue after the game,clap with your teammates,2
445,HtG-i1CG2Qs,what happened after the person in the blue went to the bathroom,wash hands,2
446,oflwFZj9PNY,what happened to the person in red and black before the long jump,run up,2
447,jt-Vnap5KP4,what happened to the person in the video after he played the organ,talk to others,2
448,fe4r2-Y8k1U,what happened to the person in the video after they reached the top of the mountain,celebrate,2
449,Z2gpcqXWNek,what happened after the person in the video showered the dog,dry it,2
450,AB5cWhlQ0Kk,what happened to the person in the video after they installed the christmas tree,decorating christmas tree,2
451,oT6WUU8-dgs,what happened to the person in the video before he drank water,clink with dog,2
452,VjMMwpgOCPo,what happened to the person in black and white before he hit the ground,somersault,2
453,lPw_BRbPw5s,what happened to the person in black after the dance,hand over nose,2
454,NvRH4SoF09c,what happened to the person in black after he played the flute,turn to landscape,2
455,oMtB-y49Yo8,what happened to the person in black before he baked the cake,make cake,2
456,3nSOFmmA7FU,what happened to the person in black before the hula hoop,horst hula hoop,2
457,QdmcjM2fluo,what happened to the person in the black jacket after he got down,pruning trees,2
458,ZnKB0U96ZI4,what happened after the person in the black shorts hit the ball,ball hit the knee,2
459,NNiJfr_ChH4,what happened to the person in black shorts before the long jump,run up,2
460,ZgdMnfTqblw,what happened to the person in the black vest before he threw the ball,jump up,2
461,uJ4OZfCjViM,what happened to the person in blue after he had swept the leaves,swing,2
462,oGU7m7rCZ-Y,what happened to the person in the blue jacket before he played the saxophone,sax,2
463,R-hsYQNtnn0,what happened after the person in blue shirt won the game,release pole,2
464,UNXLfqkwKFc,what happened to the person in blue shorts before he pushed the vacuum,press button,2
465,2vrR_5u2buU,what happened to the man in the puppet suit before he walked off the mat,roll forward,2
466,Z-sWZUYL0ZU,what happened to the person in the gray jacket after he got the towel wet,spray cleaning solution,2
467,OlR9S70AA74,what happened to the person in the green pants after the sailboat,turn around,2
468,mkGUacg0GRc,what happened to the car of the person in the gray suit after the game,middle of tyres,2
469,0w4OkBenR_k,what happened to the person in the purple after the paint,selfie,2
470,OccEAILrU7M,what happened to the person in purple before he threw the discus,rotate,2
471,1dDAcUliXrQ,what happened to the person wearing purple clothes after scoring for the second time,tease hair,2
472,kPn9NzU4W48,what happened to the person in the red and white shoes before he started boxing,talk to screen,2
473,Co_cpZWbzFk,what happened to the person in the red pants after he got the ball,throw ball,2
474,Zt9qvbUnNhc,what happens to the person in red shorts before they flip over,run up,2
475,ZxCdhz4ep0s,what happened to the person in the striped shirt after he played the piano,standing bow,2
476,QPEAp7nf2Tk,what happened to the person wearing striped pants after sliding down the slide,climb up,2
477,AjizhJc_reI,what happened after the person in the white suit hit someone,stalemate,2
478,hyMqGr0mOfA,what happened to the person in white after he threw the darts,take down darts,2
479,cYvFlrAnlzA,what happened after the person in white won the game,high five,2
480,8lMncYsbrWw,what happened after the person in white ironed his suit,tidy,2
481,y0ca-LbQErY,what happens after the person in white rides a spinning bike,drink,2
482,zqxzFxya6T8,what happened to the person in the white shirt before he rode,horse,2
483,C7yd6yEkxXE,what happened to the person wearing the white short sleeves after crossing the slope,forward,2
484,QIUxLD27NuI,what happened to the person wearing yellow clothes after spelling rubik's cube,put down magic cube,2
485,hQqoh0YxJYs,what happened to the person in yellow before he threw the plate,dance,2
486,wE9sQbGdeAk,what happened to the person with the yellow glasses after he unplugged the oxygen tank,take off shoes,2
487,0e7d39SwHCA,what happened after the person in the purple clothes and the person in the white clothes fell,hand in hand,2
488,5c5PFa8GR-A,what happened to the person who was being cut off before the gesture,scratching nose,2
489,stdtUoog49I,what happened to the person who rode the electric car before the parade passed,dispel crowd,2
490,pzTqZWPubk8,what happened to the person with a black tie after brushing his teeth,toothpaste,2
491,uktUeF3Fy7o,what happened to the person in the purple life jacket after he first put it on his shoulder,fall,2
492,aAz3YL2RMr4,what happens after the tattoo artist has tattooed on the hand of someone,bright smile,2
493,KXMZHfCwTO0,what happened to the bald person after he worked,dogs before him,2
494,4LoAbHdHWqM,what happened to the person before the child hit love,pull rope,2
495,46NS8dT15Hw,what happened to the adult in blue after the boy hit the toy,fixed toy,2
496,6O4S2CpRB0A,what happened to the athlete's body size after the tug of war started,low down barycenter,2
497,f2DS_AVorrY,what happened to the athlete before jumping,warm up exercise,2
498,1QIUV7WYKXg,what happened to the athlete before he threw the javelin,run forward,2
499,u0Dc0ZtudXY,what happened to the athlete in white before he hit the ground,back somersault,2
500,4_jDgRsOGvY,what happened after the naked man finally finished playing the drum set,throw drumbeat,2
501,3JBUWRKezUI,what happened to batman after spider-man landed ,land on ground,2
502,prBiREYQ2vQ,what happened after the long distance run started,lens conversion,2
503,_kmjpSZb3OI,what happened to the person in black after he painted it,satisfactory smile,2
504,CaeZoHNHul0,what happened to the brunette woman before she played the piano,erect violin,2
505,7BUr2cN8CLs,what happened to the person in black after making a fist,orange clothes male clenched fist,2
506,gsQ-OEvrxjo,what happened to the person in the black suit after he had finished reading the cards,open,2
507,SidTquTAtyk,what happened to the person in the black after the kite first landed,add two kites,2
508,gWTndmDHZQc,what happened to the person with the black shirt after he got the guitar,weigh it down,2
509,7CM2OYr-Csw,what happened to the blond girl after putting on the long line,kite flew high,2
510,WINtiw-_3vg,what happened to the boy after playing saxophone,turn around,2
511,9k19UUJtldg,what happened to the little boy in blue before he hit the ball,test ball,2
512,sfbgZOHLkII,what happened to the camel after the woman sat down,stand up,2
513,K1LiXUpoSmI,what happened after the kid's second serve,hit himself,2
514,MAYrBia9Xnw,what happened to the child after he posed,get blow out,2
515,LjPKKqe-VO0,what happened to the coach after the blond man jumped on the pole,kick off cushion,2
516,2_H3lxMWvPo,what happened to the cow after it was brought up,run forward,2
517,bWZkD_s1940,what happened to the dancing girl after she threw the stick ,circle,2
518,cK0-WcGXacQ,what happened before the discus thrower threw the discus,rotate,2
519,vzUeFzhVYLg,what happened to the diving person before the diving,takeoff,2
520,fEBM3nPMen8,what happened after the diver got into the water,fish bite,2
521,TiQcZKml5Bs,what happened after the person in the video took the dog,run,2
522,IGT0dIKDGCw,what happened to the dog after the man in the hat threw the frisbee,bite frisbee,2
523,PD-FXR7O9J0,what happened after flushing the dog,lift dog,2
524,FxpP7lqvm30,what happened after the game,children shook hands,2
525,OysON6LbF6Y,what happens after the harmonica is over,clapping,2
526,pVuuVHA3RVw,what happened after the run,video end,2
527,svNcNLEPKMc,what happened before the first athlete dived,handstand,2
528,2DCHbuwZNSs,what happened to the first person to feed the fish in the video after they fed the fish,shake hand,2
529,BjjN_aq_wq4,what happened after the first person appeared washing dishes,picture change,2
530,cTxVTEzQDr8,what happened after the first person wearing the red hat fell,try again,2
531,dGT_KGb0gyw,what happened after the game,clap hand to celebrate,2
532,fLR-b-FDjlM,what happened after the game was over,role pause,2
533,kMtjk1KFvXQ,what happened to this girl before the balance beam,do somersault,2
534,d09u-0k3LdE,what happened to the girl in the video before the chain ball was thrown,pirouette,2
535,7IwHwDuQdyU,what happened to the girl in the blue vest after she made a move,raise hand,2
536,k-I4zLbgdpM,what happened after the little girl with the injured middle finger explained,carry out performance,2
537,EBw5-KVV_PU,what happened to the girls before they danced,pendulum poss,2
538,V08Q-DbT0GQ,what happened after the person with glasses drank with the boys in black,eat noodles,2
539,HQVSLlKhupk,what happened to the goalkeeper after the ball flew to the goal,fall,2
540,0mNZfG6CL74,what happened to the gymnast after the wrestling,dry powder,2
541,V90CMuokf0c,what happened to the hull after the man in black paddled on the left side,drive to right,2
542,CDncYtx6Lwc,what happened to the woman after she drank the water,pick up phone,2
543,4UdxT6Zmero,what happened to the person using the lawn mower after finishing the grass,weeds are gone,2
544,Woelo4XJkHE,what happened to the boy after eating an ice cream,laugh,2
545,-Fk62y-1WHo,what happened after the little boy played,stop recording,2
546,NjD6iWI3NvM,what happened before the boy did the exercise,amuse dog,2
547,09ocXmGF-T4,what happened to the boy before he touched the potato ,adults chipping potatoes,2
548,1px5LTVIR3A,what happened to the little boy in the white suit before he left,bow,2
549,UNKf15ALDh8,what happened to the woman with long hair before planting trees,loose soil,2
550,7dXqXFoju2M,what happened to the long hair woman after she smoked a cigarette,drink,2
551,IxaBEVd2PZM,what happened to the woman with the long braid before she went to ballet,trot,2
552,dKJMP8EmZjw,what happened after the man got on the boat,ship opened,2
553,ivAvKRQQy1Q,what happened after the white man finished cooking,put in plate,2
554,AQ3eFWxZ67U,what happened after the man came to the pool,jump into pool,2
555,CFbkVO5b2g0,what happened to this man before he played the instrument,string string,2
556,xuvp0jKMqRU,what happened to the man before the pumpkin carving,draw on pumpkin,2
557,DOI6tsATsE4,what happened to the man in black before the show,white male nodding,2
558,yRQpolWhJ6A,what happened after the person in blue shook hands,happy,2
559,dN8LBey17O8,what happened to the person in gray before he mowed the lawn,height of grass,2
560,iuc48VIWLJY,what happened to the man in the black hat after he left,skiing leather ring,2
561,zH1MiuiTsx8,what happened after the person in the blue jacket drew the paddle,stop rowing,2
562,YvPoAOrjX5I,what happened after the person in blue sent the ball,laugh,2
563,teffBaLEZQg,what happened after the person wearing a blue hat fell,single hand support,2
564,u_vLZxgO9Rw,what happened before the man in green jumped rope,squat,2
565,TXSOSSGJYO0,what happened to the man in gray after he lifted his feet,raise hand,2
566,_V62aT_K8Zw,what happened to the person in the hat after he smoked,draw,2
567,V6Sy8zpJSuc,what happened after the person in the hat laid out the carpet,hold down,2
568,1lwG-y_QCkc,what happened to the person in the hat before the engine,go to machine,2
569,2ShsRSJ9cqE,what happened before the person in the hat soldered it,set up shelf,2
570,Z-zG845frso,what happened to the person in the red jacket before he hit the ball,jump up,2
571,0xBP-TSsqb0,what happened to the man in the video after combing his hair,wear hoop,2
572,bYxVbXzQToI,what happened to the person in the white coat after he sat down,tune stringed instrument,2
573,C5SXR9nMY3I,what happened to the person in the white coat after he wrapped the wrapping paper,tape,2
574,H_IfIsKQ3Zw,what happened to the person in white after the phone call,assembly of steel,2
575,NZskwwovSZI,what happens to the person in white after get tattoos,relax with mobile phone,2
576,sNTOUuE7ZfM,what happened to the person in the tie after the dance,make face,2
577,gNUCdXGxp0w,what happened to the person in the green vest after he mentioned the bridle,horse is moving,2
578,Ko7Nt8UDP4Q,what happened to the person who opened the refrigerator after he had finished eating sandwich,big mother,2
579,7-UlUnaBjXU,what happened after the person wearing a white helmet accelerated up the slope,motorcycle jump,2
580,-pkfcMUIEMo,what happened after the person shoveled the snow,piled to corner,2
581,HowkVy5fOyk,what happened after the matador show ,audience cheered,2
582,fh21bbDSVmA,what happened after the gymnastic performance of the man in the white,others come on field,2
583,iAes5SVj_Fg,what happened to the man in yellow after the flip,audience applauded,2
584,jWODw4vy45M,what happened after the dog closest to the camera walked ,lens deflection,2
585,CfqnHsp6olc,what happened to the number 10 player before he played football,put ball,2
586,EQWdo0FcKAo,what happened to the old person before he danced with the man in white,in dialogue,2
587,V-46E7jMm-Y,what happened to the old person in the black suit before he shot,aim,2
588,C27eI-S1Vkw,what happened to the operator after the hair was tied up,go through last,2
589,0Um-HgjcnXY,what happened after the orange player won,fist,2
590,bBRzBh0gAZQ,what happened after the contestants started running,takeoff,2
591,vHnZ3NrZER0,what happened to the person in black before he cut the paper,measurement length,2
592,Ynvd8OuXKGw,what happened to the person in black before he danced,putting camera,2
593,ojTFTIwsa_c,what happened to the person in black before the car wash,wiping car with foam,2
594,JB-ynj70saA,what happened after the person with the black pants came down the second time,fall,2
595,GsPE54bMFwE,what happened to the person in the white short sleeves before the rotation,squat down,2
596,87F9xGaMwCw,what happened after the person wearing black clothes for fitness,shut down machine,2
597,uLsq6gQXQPM,what happened to the the person in green after he played the slide,climb stairs,2
598,Y_nyVFn70Lk,what happened to the person in green after they washed the dishes,washing spoon,2
599,OUxgs_QlPHE,what happened to the person in the green bathing suit before he went in the dive,dive preparation,2
600,MDsJa6Yitwc,what happened to the person in gray after he painted the wall,touch lens,2
601,b6QSzGwI9m4,what happened to the person in the orange suit after he went on the court,shake table,2
602,VJh9W3Gcpmo,what happened to the person in red after he played the drums,be smashed in drum,2
603,I16FTpQQiic,what happened to the person in red before he jumped,anchor jump rope,2
604,zpaS2iYrJjk,what happened to the person in the red jacket after the interview with the crowd,hit masses,2
605,L5IbDi09Yb4,what happened to the person wearing diving suits after going to sea,see undersea biology,2
606,4uKoAk5NCkI,what happened to the person in the video after the practice,bow,2
607,udSHsodv3gY,what happened after the person in the video brushed his horse,horse nodding,2
608,Au4PfoK7hyw,what happened to the person in the video after the perform,put down flute,2
609,-YwrMtiqHKg,what happened after the person in the video did the skin care,wash face,2
610,k3WPc9HmtLM,what happened to the person in the video after they finished the cream,put on bread,2
611,AB480dHyDeM,what happened after the person in the video washed his shoes,display shoes,2
612,z6pmp8TrAVo,what happened after the person in the video washed the dishes,laugh,2
613,chmegNbBTNc,what happened to the person in the video before he wiped the table,touch liquid,2
614,yGTIEmZ7S2w,what happened to the person in the video before the javelin was thrown,run up,2
615,YaC68rE4lwA,what happened to the person in the video before he covered his mouth,mouth leaking,2
616,nYl_tYmijlM,what happened to the person in white after he played the drums,immerse in it,2
617,i5qTK0mInTc,what happened after the person in yellow turned on the tv,sit on sofa,2
618,JGPhQX97OSE,what happened after the person on the field played,leave court,2
619,KZ1NEffR2Qg,what happened to the person in the red pants after he jumped the rope,to everyone ju gong,2
620,GgnM5RGNtDE,what happened to the person in the blue short sleeves after he stepped on the rope,start dancing,2
621,Y05GAiavfOg,what happened after the person in the video had his nails manicured,display finger,2
622,aH39BSM0-Ag,what happened to the person in the white hat after he picked up the ball,throw out again,2
623,I9ficvPdpZg,what happened to the person in the white coat after he painted the paint,turn picture back,2
624,Npj77L31bhw,what happened after the person wearing a hat tattooed,middle finger,2
625,Jix3poZOeZA,what happened after the player hit the first goal,pick up racket,2
626,sPK-sbHIb3w,what happened to the athlete before shooting,throw ball out,2
627,huFOZ2BiM_k,what happened before the athlete wearing a red trousers fell to the ground,handstand,2
628,Vxw3yFCV2iA,what happened to the athlete after he caught the rope,get up slowly,2
629,idkQqlwyff8,what happened to the boy in red before the old person in blue knocked on the toy,takeoff,2
630,ldAHwbF8uWI,what happened to the person in red after he pulled his wrist,lose to opponent,2
631,2-AMrzL7V-U,what happened to the referee after the first long jum,measuring distance,2
632,FnPS6zn5S7M,what happened to the judge before the woman in the gym suit hit the ground,backward dodge,2
633,PdwWFueQErM,what happened before the snow sweeper picked up his tools,sweeping snow,2
634,K1OsjA-f17E,what happened to the staff after stopped the car,start car wash,2
635,RXDVJlb97OI,what happened to the person who stood after twist,twist butt,2
636,S6Sg1l78IW0,what happened to the standing woman after playing,put down flute,2
637,6H0D8VaIli0,what happened after the hip hop contest in the video,handshake,2
638,03c6QhTMDSs,what happened to the person wearing striped clothes after the explanation was over,demo bicycles,2
639,VSsZZZHn1L0,what happened to the girl in a striped dress after pouring mouthwash,gargle,2
640,eMgC7I-GcgA,what happened to the surfers after the flips,fall,2
641,AtbTioB1_Kw,what happened after the trainer ran a certain distance,throw long pole,2
642,bYNQ0GrCt64,what happened to the weight lifter after he held the barbell,lift barbell,2
643,_jIXs7AFTxw,what happened to the person in the white suit after he wiped his feet,wear socks,2
644,_QBTD1bLSI0,what happened to the person in white after he washed his hands,wipe hands,2
645,e0yLhjXQIXI,what happened to the person in white after he flipped,site,2
646,AjqnGUbsduw,what happened to the person in white and the gray man after the wrench,stalemate,2
647,2UhbDOd43zU,what happened to the person in white before the person in black practiced for the first time,hold black clothes man,2
648,Vhn4SuPhu-0,what happened to the person in white before the person in black practiced for the first time,sleep,2
649,QJ5xv6oj1sk,what happened to the person in white shirt after he lifted his hand for the fourth time,turn around,2
650,iKclcQEl4zI,what happened to the girl in  white sleeves before the last flip,run up,2
651,cAiig_569fI,what happened to the woman in the blue vest after she jumped,hit ball,2
652,Db9VWkgMpbE,what happened to the woman in the video before she drank water,motion,2
653,utgRhyBvtRU,what happened to the woman in white before she lay down for the second time,clapping,2
654,6xBh3vzhgo4,what happened to the woman in the life jacket after the speedboat started,skater surfers,2
655,1PNjVTM0Zto,what happened to the person in yellow clothes before moving his feet for the first time,raise hand,2
656,iQnnCZTl_7U,what happened to the person in young after he finished the cake,clapping,2
657,kpOAGEYHts8,what happened to the woman before the deal,put cards in box,2
658,zTHkqpNFGno,what happened to the person in the black coat after he combed the bangs,fiddle with hair,2
659,LYTWYSqsTCE,what happened to the person in gray after the third wall,go away,2
660,hIHeMA1oRrY,what happened to the woman in the video after she put on her sunscreen,refresh,2
661,CvbL36Y8hN0,what happened to the woman in the video before the bungee jump,psychological adjustment,2
662,qWgF9hxNbP8,what happened to the person in undressed after they were thrown to the ground,fall off stage,2
663,VpZzLvzU7_k,what happened after getting off the cable car,skidding,2
664,hxErUs42bBI,what happened after the person in red waved his hand,forward,2
665,H_JLBvfP88U,what happened after the cow came out of the door,chasing people,2
666,3i3SUPsyZtA,what happened after the chef poured the eggs into the round pan,stir,2
667,MAGeYoFuCgo,what happened to the chef after he poured the noodles into the filter bucket,spaghetti,2
668,5UZ2ft8Y3sI,what happened after the curling was thrown out,bump into pot,2
669,j6BCgvUusWs,what happened after the first dealer finished the card,ask for note,2
670,amgpZtvd9h0,what happened after the hair of girl was braided,bow hairstyle,2
671,9eniCub7u60,what happened after the little boy ran out,two people dance,2
672,Av0VsTxJd78,what happened after someone lifted up the window,skiing,2
673,YVqRQDkdA8U,what happened after the person in blue jumped,fall down,2
674,PFeerDZbGn8,what happened after the person threw out the plate,dog chases plate,2
675,auO4r3De6vc,what happened after the owner dropped the plate,dog came back with something,2
676,z6l9utYlIrw,what happened after the person wearing red clothes got up,be gone,2
677,hRsn4nesCQo,what happened to the person in gray after he turned around,dipping pigment,2
678,2uUNiV8xmEo,what happened to the player in white after he fell,attack,2
679,I2XqSiNerwg,what happened after the person in white took out the pole,swing rod,2
680,hvrKRg166eQ,what happened after the woman waved in the middle,raise your left hand,2
681,5dN-MpXG9OE,what happened after the player in the video jumped forward,back somersault,2
682,Ki1bs5X_S5k,what happened after the kid hit the bottle with a stick,plaything,2
683,kistIwzeQOU,what happened before the man wearing white clothes put on a wall cloth,stand on bench,2
684,UvOEuhS0V3E,what happens to a long hair woman before a short hair man eats something,rouge lips,2
685,lOZ9bfzq89o,what happened to the athlete in green before he doubled over,original takeoff,2
686,FWZ6wgaJ_L4,what happened to the person wearing blue clothes after cutting things out,rinse,2
687,G4-qjGC_3VA,what happened before the person in black jumped up,straighten rod,2
688,LsVCwr6qPmY,what happened after the person in blue ironed his collar,ironing sleeves,2
689,4MwnHtlaEUY,what happened after the person in the video assembled the bicycle,start riding,2
690,lU6DMCif3eE,what happened to the person in the video after blowing the first paragraph,open mouth ventilation,2
691,VvsYrfEvvUw,what happened to the person in the video after holding the parallel bars,support yourself,2
692,cCDffwsJvsY,what happened to the person in the video after he took out the ignition,light,2
693,qaml4eEk9hY,what happened to the person in the video after the first turn,mice,2
694,meNgZdu8tIk,what happened to the person in the video before he baked the sandwich,smear oil,2
695,g9lNpSAtHgI,what happened to the person in the video before he painted the chair,lacquer,2
696,2k-qlZxc9l4,what happened to the person in the video before shaving hair of his legs,coated hair cream,2
697,nhQTxZlzG1Q,what happens after the person in black play games,rest,2
698,z8x3wUZYOaM,what happened to the person wearing black clothes after pulling hair,throw away,2
699,SB0dU5oDvaE,what happened after the person in black shoveled the snow,dog jumped up,2
700,tgPD2SZo_DY,what happened to the person in blue after he ran off with the needle,counterclockwise running,2
701,d6gGZFQOxOg,what happened to the person in green before he lifted the weight,squat,2
702,DHjoAOus3xM,what happened after the two ships approached,white men fall in water,2
